:action
search

:nominal
Survive, 	2,2,z
Pclass, 	3,1,c
Sex, 		2,1,S
AgeBinE,	5,1,Ae
AgeBinQ,	5,1,Aq
SibSp,		7,1,ss
Parch,		7,1,pa
FareBinE,	4,1,Fe
FareBinQ,	4,1,Fq
Embarked,	4,1,E
CabinLetter,	9,1,Cl


:no-frequency

:data
0	3	male	1.0	1.0	1	0	0	0	S	26
1	1	female	1.0	2.0	1	0	0	0	C	3
1	3	female	1.0	1.0	0	0	0	0	S	26
1	1	female	1.0	2.0	1	0	0	0	S	3
0	3	male	1.0	2.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
0	1	male	2.0	3.0	0	0	0	0	S	5
0	3	male	0.0	0.0	3	1	0	0	S	26
1	3	female	1.0	1.0	0	2	0	0	S	26
1	2	female	0.0	0.0	1	0	0	0	C	26
1	3	female	0.0	0.0	1	1	0	0	S	7
1	1	female	2.0	3.0	0	0	0	0	S	3
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	1.0	3.0	1	5	0	0	S	26
0	3	female	0.0	0.0	0	0	0	0	S	26
1	2	female	2.0	3.0	0	0	0	0	S	26
0	3	male	0.0	0.0	4	1	0	0	Q	26
1	2	male	.	.	0	0	0	0	S	26
0	3	female	1.0	2.0	1	0	0	0	S	26
1	3	female	.	.	0	0	0	0	C	26
0	2	male	1.0	2.0	0	0	0	0	S	26
1	2	male	1.0	2.0	0	0	0	0	S	4
1	3	female	0.0	0.0	0	0	0	0	Q	26
1	1	male	1.0	1.0	0	0	0	0	S	1
0	3	female	0.0	0.0	3	1	0	0	S	26
1	3	female	1.0	2.0	1	5	0	0	S	26
0	3	male	.	.	0	0	0	0	C	26
0	1	male	0.0	0.0	3	2	2	2	S	3
1	3	female	.	.	0	0	0	0	Q	26
0	3	male	.	.	0	0	0	0	S	26
0	1	male	1.0	3.0	0	0	0	0	C	26
1	1	female	.	.	1	0	1	1	C	2
1	3	female	.	.	0	0	0	0	Q	26
0	2	male	3.0	3.0	0	0	0	0	S	26
0	1	male	1.0	1.0	1	0	0	0	C	26
0	1	male	2.0	3.0	1	0	0	0	S	26
1	3	male	.	.	0	0	0	0	C	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	female	0.0	0.0	2	0	0	0	S	26
1	3	female	0.0	0.0	1	0	0	0	C	26
0	3	female	1.0	3.0	1	0	0	0	S	26
0	2	female	1.0	1.0	1	0	0	0	S	26
0	3	male	.	.	0	0	0	0	C	26
1	2	female	0.0	0.0	1	2	0	0	C	26
1	3	female	0.0	0.0	0	0	0	0	Q	26
0	3	male	.	.	0	0	0	0	S	26
0	3	male	.	.	1	0	0	0	Q	26
1	3	female	.	.	0	0	0	0	Q	26
0	3	male	.	.	2	0	0	0	C	26
0	3	female	0.0	0.0	1	0	0	0	S	26
0	3	male	0.0	0.0	4	1	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	1	female	2.0	3.0	1	0	0	0	C	4
1	2	female	1.0	2.0	1	0	0	0	S	26
0	1	male	3.0	3.0	0	1	0	0	C	2
1	1	male	.	.	0	0	0	0	S	3
1	2	female	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	C	26
